Question,Option A,Option B,Categories,Work Safe,Mature,Shape,Why It Works
Do you reply to emails as they arrive or in batches?,As they arrive,In batches,Work & Money; Habits,TRUE,FALSE,HABIT,Work-style split
Do you keep your camera roll under control?,Yes,No,Technology; Habits,TRUE,FALSE,HABIT,Digital-tidiness reveal
Does everything happen for a reason?,Yes,No,Belief; Deep,TRUE,FALSE,BELIEF,Worldview divide
Do you trust a gut feeling over the data?,Gut,Data,Psychology; Values,TRUE,FALSE,BELIEF,Decision-style reveal
Do you believe people can truly change?,Yes,No,Psychology; Deep,TRUE,FALSE,BELIEF,Optimist vs skeptic
Is luck a bigger factor in success than hard work?,Luck,Hard work,Values; Society,TRUE,FALSE,BELIEF,Fairness worldview
Do first impressions usually turn out to be right?,Yes,No,Psychology; Social,TRUE,FALSE,BELIEF,Self-trust reveal
Are people basically good?,Yes,No,Ethics; Deep,TRUE,FALSE,BELIEF,Core worldview split
Is it better to follow your head than your heart?,Head,Heart,Psychology; Values,TRUE,FALSE,BELIEF,Classic divide
Can money buy happiness?,Yes,No,Money; Deep,TRUE,FALSE,BELIEF,Perennial split
Do opposites actually attract in relationships?,Yes,No,Relationships; Belief,TRUE,FALSE,BELIEF,Folk-wisdom test
Is the customer always right?,Yes,No,Work & Money; Society,TRUE,FALSE,BELIEF,Service-worker flashpoint
Is honesty always better than politeness?,Honesty,Politeness,Ethics; Social,TRUE,FALSE,BELIEF,Kept — values split
Do you believe in second chances by default?,Yes,No,Relationships; Values,TRUE,FALSE,BELIEF,Forgiveness divide
Is a hunch about a stranger usually accurate?,Yes,No,Psychology; Belief,TRUE,FALSE,BELIEF,Overconfidence reveal
Should you always follow your passion for a career?,Yes,No,Work & Money; Values,TRUE,FALSE,BELIEF,Advice people disagree on
Is it better to aim high and risk failing than play it safe?,Aim high,Play safe,Values; Risk,TRUE,FALSE,BELIEF,Risk-appetite split
Is breakfast food better at dinner than in the morning?,Yes,No,Food & Drink; Taste,TRUE,FALSE,TASTE,Breakfast-for-dinner divide
Is a burger better with or without lettuce and tomato?,With,Without,Food & Drink; Taste,TRUE,FALSE,TASTE,Purist vs loaded split
Is chunky peanut butter better than smooth?,Chunky,Smooth,Food & Drink; Taste,TRUE,FALSE,TASTE,Textural tribes
Are you a morning person rather than a night owl?,Morning person,Night owl,Lifestyle; Debate,TRUE,FALSE,TASTE,Chronotype loyalty
Is texting better than calling?,Texting,Calling,Technology; Communication,TRUE,FALSE,TASTE,Generational communication split
Is it better to travel to the same place you love or somewhere new?,Same,New,Travel; Lifestyle,TRUE,FALSE,TASTE,Comfort vs novelty
Are physical books better than e-books?,Physical,E-book,Entertainment; Media,TRUE,FALSE,TASTE,Format loyalty
Is silence better than background music while working?,Silence,Music,Work & Money; Habits,TRUE,FALSE,TASTE,Focus-style split
Is dark mode better than light mode?,Dark,Light,Technology; Design,TRUE,FALSE,TASTE,Screen-preference tribes
Is a road trip better than flying to the same destination?,Road trip,Fly,Travel; Lifestyle,TRUE,FALSE,TASTE,Journey vs destination
Have you ever left a store without buying to avoid the salesperson?,Yes,No,Consumer; Confession,TRUE,FALSE,CONFESS,"Common avoidance, feels petty"
Do you rehearse how you'll order before reaching the counter?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Quiet social anxiety, widespread"
Have you ever kept a gift you hated on display for a visit?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,Politeness theater
Do you skip the intro when calling and just start talking fast?,Yes,No,Communication; Confession,TRUE,FALSE,CONFESS,Phone-anxiety reveal
Have you ever pretended a call dropped to end it?,Yes,No,Communication; Confession,TRUE,FALSE,CONFESS,Guilty and common
Do you count steps or tiles when bored?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Oddly relatable habit
Have you ever worn something twice to look different in photos?,Yes,No,Style; Confession,TRUE,FALSE,CONFESS,Social-media vanity reveal
Do you think you'd be a good spy?,Yes,No,Fun; Self,TRUE,FALSE,MIRROR,Playful overconfidence
Are you better at keeping secrets than most people?,Yes,No,Relationships; Self,TRUE,FALSE,MIRROR,Everyone claims yes
Do you think you'd make a good boss?,Yes,No,Work & Money; Self,TRUE,FALSE,MIRROR,Self-image vs reality
Are you more organized than the people you live or work with?,Yes,No,Home; Self,TRUE,FALSE,MIRROR,Comparison bias
Would you keep quiet if you saw a friend shoplift a small item?,Yes,No,Ethics; Social,TRUE,FALSE,GREY,Loyalty vs principle
Is it okay to look up an ex online now and then?,Yes,No,Relationships; Ethics,TRUE,FALSE,GREY,"Near-universal, admitted-by-half"
Would you use a coworker's idea if they left the company?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Ambition-ethics grey zone
Is it okay to skip a friend's event you find boring?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,Honesty-vs-obligation
Would you accept a job knowing you'd leave in six months?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Self-interest split
Would you rather never wait in line again or never be stuck in traffic?,No lines,No traffic,Lifestyle; Fun,TRUE,FALSE,TRADE,Everyday-annoyance reveal
Would you give up social media for a year for a month's salary?,Yes,No,Technology; Money,TRUE,FALSE,TRADE,Value-of-attention test
Would you rather have a photographic memory or perfect intuition?,Memory,Intuition,Psychology; Deep,TRUE,FALSE,TRADE,Cognitive-style split
Would you rather be able to teleport or fly?,Teleport,Fly,Fun; Deep,TRUE,FALSE,TRADE,"Superpower classic, genuinely split"
Would you rather be alone for a week or never alone for a week?,Alone,Never alone,Psychology; Values,TRUE,FALSE,TRADE,Introvert/extrovert reveal
Would you rather always speak your mind or always keep the peace?,Speak mind,Keep peace,Relationships; Values,TRUE,FALSE,TRADE,Conflict-style split
Should you split the bill evenly even if you ordered less?,Yes,No,Money; Etiquette,TRUE,FALSE,NORM,Group-dinner flashpoint
Is it okay to recline your chair fully in a shared office?,Yes,No,Work & Money; Etiquette,TRUE,FALSE,NORM,Shared-space split
"Should group texts be for logistics only, not chatter?",Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Chat-norm divide
Is it rude to bring a crying baby on a long flight?,Yes,No,Travel; Etiquette,TRUE,FALSE,NORM,Perennial travel debate
Should you wait for everyone to be served before eating?,Yes,No,Food & Drink; Etiquette,TRUE,FALSE,NORM,Table-manners split
Do you unplug chargers when you're done?,Yes,No,Home; Habits,TRUE,FALSE,HABIT,Small everyday split
Do you keep your work and personal life in separate calendars?,Yes,No,Work & Money; Habits,TRUE,FALSE,HABIT,Boundary-style split
Do you finish books you've stopped enjoying?,Yes,No,Entertainment; Habits,TRUE,FALSE,HABIT,Completionist vs quitter
Do you check the weather before leaving even for short trips?,Yes,No,Lifestyle; Habits,TRUE,FALSE,HABIT,Planner reveal
Is it ever too late to start over in life?,Yes,No,Deep; Values,TRUE,FALSE,BELIEF,Optimism split
Do you think most people are lonelier than they admit?,Yes,No,Psychology; Society,TRUE,FALSE,BELIEF,Projection reveal
Is being liked more important than being respected?,Liked,Respected,Values; Social,TRUE,FALSE,BELIEF,Priority split
Do you believe the best days are ahead rather than behind?,Ahead,Behind,Deep; Values,TRUE,FALSE,BELIEF,Outlook divide
Have you ever faked being asleep to avoid intimacy?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Private, quietly common"
Is a one-night stand ever a good idea?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,GREY,"Values split, no consensus"
Would you date someone great in bed but boring everywhere else?,Yes,No,Sex & Dating; Values,FALSE,TRUE,TRADE,Forces an honest priority
Have you ever stayed in a relationship mainly for the sex?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Guilty near-majority
Is watching porn while in a relationship cheating?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Genuinely divisive
Does a partner's number of past partners matter to you?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,"People say no, mean yes"
Is it okay to fantasize about someone else during sex?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Taboo but common
Have you ever had a crush on a friend's partner?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Widespread, rarely admitted"
Is sexual chemistry more important than emotional connection?,Sexual,Emotional,Sex & Dating; Values,FALSE,TRUE,TRADE,Core relationship split
Is it okay to stay close friends with an ex you slept with?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Jealousy flashpoint
Have you ever ended things over bad sex?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Honest dealbreaker reveal
Would you rather a partner cheat physically or emotionally?,Physically,Emotionally,Sex & Dating; Values,FALSE,TRUE,TRADE,Reveals what betrayal means to you
Is flirting with someone else harmless when you're taken?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Boundary divide
Would you ever try an open relationship?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Splits hard by worldview
Have you ever hooked up with a coworker?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Common, taboo to say"
Is sending nudes ever a good idea?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,GREY,Risk-appetite split
Would you date someone 15+ years older?,Yes,No,Sex & Dating; Values,FALSE,TRUE,TASTE,Age-gap divide
Is a high body count a red flag?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,BELIEF,Values flashpoint
Would you get back with an ex just for the sex?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,GREY,Temptation reveal
Is it okay to lie about liking something in bed to spare feelings?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Kindness vs honesty
Have you ever sent a nude you later regretted?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Frank, widely relatable"
Have you ever faked an orgasm?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Split surprises people by group
Is your 'number' higher than your partner thinks?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Secret-truth intrigue
Have you ever had a friends-with-benefits arrangement?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Common, rarely volunteered"
Do you sometimes think of someone else during sex?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Taboo, near-universal"
Have you ever used a dating app purely for a hookup?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Honest-intent reveal
Is morning sex better than night sex?,Morning,Night,Sex & Dating; Taste,FALSE,TRUE,TASTE,Playful preference split
Would you let your partner read your entire search history?,Yes,No,Sex & Dating; Trust,FALSE,TRUE,GREY,Privacy vs transparency
Have you ever ghosted someone right after sleeping with them?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Grey behavior, real split"
Is it okay to keep old nudes of an ex?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Consent/closure divide
Do most people watch more porn than they'll admit?,Yes,No,Sex & Dating; Belief,FALSE,TRUE,BELIEF,Projection reveal
Have you ever had a hookup you told no one about?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Deep-secret intrigue
Would you want a detailed account of your partner's past relationships?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Curiosity vs peace
Is it cheating to match with people on an app 'just to look'?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Modern-fidelity grey zone
Have you ever caught feelings for a casual hookup?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Relatable, rarely said"
